epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,3687.29,1.4058,0.63102,0.86196,0.84947,0.74721,0.86654,0.53041,1.32694,0.64754,0.84063,0.000614,0.000614,0.000614
72,3740.59,1.46229,0.64365,0.86591,0.85187,0.74407,0.86035,0.52122,1.34385,0.65281,0.84261,0.0005942,0.0005942,0.0005942
73,3793.78,1.41485,0.63081,0.86429,0.85089,0.75494,0.87486,0.51798,1.46576,0.63444,0.84928,0.0005744,0.0005744,0.0005744
74,3847.08,1.39632,0.64409,0.86654,0.79196,0.78458,0.8666,0.52588,1.38078,0.61691,0.84764,0.0005546,0.0005546,0.0005546
75,3900.1,1.40844,0.63723,0.86118,0.86616,0.72902,0.87017,0.54309,1.33028,0.62044,0.84468,0.0005348,0.0005348,0.0005348
76,3953.05,1.38276,0.62463,0.86192,0.8098,0.75,0.85883,0.52576,1.33939,0.6376,0.84462,0.000515,0.000515,0.000515
77,4007.16,1.41398,0.63034,0.86097,0.84119,0.72756,0.85569,0.52926,1.3613,0.6364,0.84527,0.0004952,0.0004952,0.0004952
78,4060.53,1.41074,0.62727,0.85309,0.86877,0.71302,0.86413,0.52634,1.38104,0.66054,0.84726,0.0004754,0.0004754,0.0004754
79,4113.52,1.38187,0.61912,0.85658,0.84532,0.77075,0.87945,0.54376,1.30338,0.62196,0.83671,0.0004556,0.0004556,0.0004556
80,4168.08,1.38708,0.62346,0.85614,0.86763,0.73814,0.86912,0.53813,1.28392,0.63773,0.83548,0.0004358,0.0004358,0.0004358
81,4221.22,1.40586,0.63151,0.86543,0.86854,0.72826,0.85535,0.52866,1.29924,0.63887,0.83797,0.000416,0.000416,0.000416
82,4276.09,1.38908,0.62855,0.86208,0.87817,0.72648,0.86447,0.53311,1.30257,0.62594,0.8389,0.0003962,0.0003962,0.0003962
83,4327.84,1.41002,0.62101,0.8598,0.81903,0.76581,0.86181,0.52242,1.35328,0.6285,0.84203,0.0003764,0.0003764,0.0003764
84,4382.39,1.38926,0.61691,0.85981,0.87067,0.73177,0.8652,0.53549,1.30672,0.63881,0.83766,0.0003566,0.0003566,0.0003566
85,4434.36,1.39677,0.61054,0.85596,0.84867,0.7481,0.87465,0.54239,1.29632,0.60561,0.83909,0.0003368,0.0003368,0.0003368
